29,7,Taco Hemingway,1990,Benito Mussolini,1883,,,,
30,7,Henry Ford,1863,Warren Buffett,1930,Arnold Schwarzenegger,1947,Christopher Nolan,1970
31,7,Mini Majk,1994,JK Rowling,1965,,,,
1,8,Yves Saint Laurent,1936,Jason Momoa,1979,,,,
2,8,Krystyna Czubówna,1954,Kuba Wojewódzki,1963,,,,
3,8,Antoni Macierewicz,1948,Stefan Wyszyński,1901,,,,
4,8,Louis Armstrong,1901,Barack Obama,1961,Zygmunt Solorz-Żak,1956,Wojciech Adamczyk,1959
5,8,Neil Armstrong,1930,,,,,,
6,8,Kevin Mitnick,1963,,,,,,
7,8,Matty Cash,1997,,,,,,
8,8,Anita Włodarczyk,1985,,,,,,
9,8,Whitney Houston,1963,Roman Dmowski,1864,,,,
10,8,Oki,1998,Antonio Banderas,1960,,,,
11,8,Chris Hemsworth,1983,Steve Wozniak,1950,,,,
12,8,Artur Barciś,1956,Robert Makłowicz,1963,,,,
13,8,Young Leosia,1998,Józef Haller,1873,,,,
14,8,Beata Tyszkiewicz,1938,Maciej Maleńczuk,1961,,,,
15,8,Napoleon Bonaparte,1769,Jan Brzechwa,1898,Jennifer Lawrence,1990,,
16,8,Madonna,1958,Steve Carell,1962,Jan Bosko,1815,James Cameron,1954
17,8,Robert De Niro,1943,Jan III Sobieski,1629,,,,
18,8,Roman Polański,1933,Zbigniew Ziobro,1970,,,,
19,8,Coco Chanel,1883,Bill Clinton,1946,,,,
20,8,Bolesław Prus,1847,Andrew Garfield,1983,,,,
21,8,Robert Lewandowski,1988,Usain Bolt,1986,,,,
22,8,Dua Lipa,1995,Cezary Żak,1961,,,,
23,8,Kobe Bryant,1978,,,,,,
24,8,Paulo Coelho,1947,,,,,,
25,8,Iwan IV Groźny,1530,,,,,,
26,8,Matka Teresa z Kalkuty,1910,,,,,,
27,8,Daniel Magical,1993,,,,,,
28,8,Johann W. von Goethe,1749,,,,,,
29,8,Bartosz Kurek,1988,Michael Jackson,1958,,,,
30,8,Alexksandr Łukaszenka,1954,,,,,,
31,8,Robert Gawliński,1963,,,,,,
1,9,Zendaya,1996,,,,,,
2,9,Sanah,1997,,,,,,
3,9,Szymon Hołownia,1976,,,,,,
4,9,Beyoncé,1981,Juliusz Słowacki,1809,,,,
5,9,Freddie Mercury,1946,,,,,,
6,9,John Dalton,1766,,,,,,
7,9,Miniminter,1992,,,,,,
8,9,Krzysztof Krawczyk,1946,Wiz Khalifa,1987,,,,
9,9,Adam Sandler,1966,Aleksander Doba,1946,Michał Wiśniewski,1972,,
10,9,Karl Lagerfeld,1933,,,,,,
11,9,Rezi,1996,,,,,,
12,9,Hans Zimmer,1957,,,,,,
13,9,Julian Tuwim,1894,,,,,,
14,9,Amy Winehouse,1983,Jerzy Popiełyszko,1947,,,,
15,9,Jarosław Hermaszewski,1941,Książe Harry,1984,Tom Hardy,1977,,
16,9,Michał Milowicz,1970,,,,,,
17,9,Peja,1976,,,,,,
18,9,Lance Armstrong,1971,,,,,,
19,9,Mariusz Błaszczak,1969,,,,,,
20,9,Belmondo,1992,,,,,,
21,9,Stephen King,1947,,,,,,
22,9,Anderea Bocelli,1958,,,,,,
23,9,Gajusz Juliusz Cezar Oktawian,-63,Janusz Gajos,1939,,,,
24,9,Cyprian Kamil Norwid,1821,,,,,,
25,9,Will Smith,1968,,,,,,
26,9,Serena Williams,1981,,,,,,
27,9,Lil Wayne,1982,Stefan Batory,1533,,,,
28,9,Michał Winiarski,1983,,,,,,
29,9,Lech Wałęsa,1943,,,,,,
30,9,Patecki,1997,Max Verstappen,1997,,,,
1,10,Zach Galifianakis,,,,,,,
2,10,Mahatma Gandhi,1869,,,,,,
3,10,ASAP ROCKY,1988,Zlatan Ibrahimović,1981,,,,
4,10,Dakota Johnson,1989,,,,,,
5,10,Ray Kroc,1902,,,,,,
6,10,Politechnika Gdańska,1904,Jerzy Owsiak,1953,,,,
7,10,Władimir Putin,1952,Heinrich Himmler,1900,,,,
8,10,Matt Damon,1970,Bruno Mars,1985,,,,
9,10,John Lennon,1940,,,,,,
10,10,DDG,1997,,,,,,
11,10,Cardi B,1992,Adin Ross,2000,,,,
12,10,Hugh Jackman,1968,,,,,,
13,10,Margaret Thatcher,1925,Katy Perry,1984,,,,
14,10,George Floyd,1973,Robert Pasut,1987,,,,
15,10,Tom Hardy,1977,Fryderyk Nietzsche,1844,,,,
16,10,Tomasz Hajto,1972,,,,,,
17,10,Eminem,1972,Zbigniew Stonoga,1974,,,,
18,10,Jean-Claude Van Damme,1960,Marek Kondrat,1950,,,,
19,10,Katarzyna Żak,1963,,,,,,
20,10,Snoop Dogg,1971,,,,,,
21,10,Kim Kardashian,1980,Alfred Nobel,1833,,,,
22,10,21 Savage ,1992,,,,,,
23,10,Pelé,1940,Ryan Reynolds,1976,,,,
24,10,Drake,1986,Wayne Rooney,1985,,,,
25,10,Pablo Picasso,1881,Katy Perry,1984,,,,
26,10,William Griffith Wilson (założyciel Wspólnoty Anonimowych Alkoholików),1895,Seth MacFarlane,1973,Janusz Palikot,1964,,
27,10,Janusz Korwin-Mikke,1942,James Cook,1728,,,,
28,10,Bill Gates,1955,Joaquin Phoenix,1974,,,,
29,10,Joseph Goebbels,1897,,,,,,
30,10,Diego Maradona,1960,,,,,,
31,10,Krzysztof Kolumb,1451,,,,,,
1,11,Tim Cook,1960,Marta Chodorowska,1981,,,,
2,11,George Boole,1815,,,,,,
3,11,Kendall Jenner,1995,,,,,,
4,11,Matthew McConaughey,1969,,,,,,
5,11,Kayah,1967,,,,,,
6,11,Jacek Sasin,1969,,,,,,
7,11,David Guetta,1967,Maria Skłodowska-Curie,1867,,,,
8,11,Gordon Ramsay,1966,,,,,,
9,11,Jean Monnet,1888,,,,,,
10,11,Michaił Kałasznikow,1919,Martin Luter,1483,,,,
11,11,Leonardo DiCaprio,1974,,,,,,
12,11,Ryan Gosling ,1980,Charles Manson,1934,,,,
13,11,Jimmy Kimmel,1967,,,,,,
14,11,Edyta Górniak,1972,Król Karol III,1948,,,,
15,11,Aleksander Kwaśniewski,1954,,,,,,
16,11,Jean le Rond d’Alembert,1753,,,,,,
17,11,Young Igi,1999,,,,,,
18,11,Ignacy Jan Paderewski,1860,,,,,,
19,11,Calvin Klein,1942,,,,,,
20,11,Joe Biden,1942,Sławomir Mentzen,1986,Edwin Hubble,1889,,
21,11,Tomasz Chmiel,1956,,,,,,
22,11,Sobel,2001,Scarlett Johansson,1984,,,,
23,11,Miley Cyrus,1992,,,,,,
24,11,Kuba Sienkiewicz,1961,,,,,,
25,11,Pedri,2002,,,,,,
26,11,Tina Turner,1939,Rita Ora,1939,,,,
27,11,Bruce Lee,1940,,,,,,
28,11,Fryderyk Engels,1820,,,,,,
29,11,Howie Mendel,1955,,,,,,
30,11,Winston Churchill,1874,Magnus Carlsen,1990,Robert Karaś,1988,,
1,12,Pablo Escobar,1949,,,,,,
2,12,Britney Spears,1981,"Piotr ""Izak"" Skowyrski",1987,Popek,1978,Gianni Versace,1946
3,12,Adam Małysz,1977,,,,,,
4,12,Jay-Z,1969,,,,,,
5,12,Walt Disney,1901,Józef Piłsudski,1867,,,,
6,12,Olaf Lubaszenko,1968,,,,,,
7,12,Robert Kubica,1984,,,,,,
8,12,Nicki Minaj,1982,Maryla Rodowicz,1945,,,,
9,12,Joanna Jabłczyńska,1985,,,,,,
10,12,Marek Grechuta,1945,Ada Lovelace,1815,,,,
11,12,Białas,1987,,,,,,
12,12,Jacek Murański,1968,,,,,,
13,12,Taylor Swift,1989,Jamie Foxx,1967,,,,
14,12,Jakub Błaszczykowski,1985,,,,,,
15,12,Leon Niemczyk,1923,,,,,,
16,12,Ludwig van Beethoven,1770,,,,,,
17,12,papież Franciszek,1936,Blowek,1996,Ludwig van Beethoven,1770,,
18,12,Steven Spielberg,1946,Brad Pitt,1963,Józef Stalin,1878,Billie Eilish,2001
